Player,2024 Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
Anshul Kamboj,MI,2,3,3,10.0,114,24/1,57.0,11.4,30.0,0,0
Shashank Singh,PBKS,1,14,1,1.0,5,5/1,5.0,5.0,6.0,0,0
Nathan Ellis,PBKS,1,1,1,4.0,24,24/1,24.0,6.0,24.0,0,0
M Siddharth,LSG,1,3,3,9.0,71,21/1,71.0,7.88,54.0,0,0
Vijayakanth Viyaskanth,SRH,1,3,3,10.0,86,37/1,86.0,8.6,60.0,0,0
Richard Gleeson,CSK,1,2,2,7.5,71,30/1,71.0,9.06,47.0,0,0
Matt Henry,LSG,1,4,4,12.0,110,28/1,110.0,9.16,72.0,0,0
Amit Mishra,LSG,1,1,1,2.0,20,20/1,20.0,10.0,12.0,0,0
Mayank Dagar,RCB,1,5,5,11.5,120,23/1,120.0,10.14,71.0,0,0
Arshad Khan,LSG,1,4,4,10.1,114,45/1,114.0,11.21,61.0,0,0
Daryl Mitchell,CSK,1,13,2,6.0,70,18/1,70.0,11.66,36.0,0,0
Alzarri Joseph,RCB,1,3,3,9.4,115,43/1,115.0,11.89,58.0,0,0
Lizaad Williams,DC,1,2,2,6.0,72,38/1,72.0,12.0,36.0,0,0
Mitchell Marsh,DC,1,4,3,8.0,103,37/1,103.0,12.87,48.0,0,0
Marco Jansen,SRH,1,3,3,10.0,129,45/1,129.0,12.9,60.0,0,0
Yudhvir Singh,LSG,1,2,2,4.0,52,24/1,52.0,13.0,24.0,0,0
Romario Shepherd,MI,1,6,5,12.0,159,54/1,159.0,13.25,72.0,0,0
Shivam Dube,CSK,1,14,1,1.0,14,14/1,14.0,14.0,6.0,0,0
Washington Sundar,SRH,1,2,2,5.0,73,46/1,73.0,14.6,30.0,0,0
Kwena Maphaka,MI,1,2,2,6.0,89,23/1,89.0,14.83,36.0,0,0
Luke Wood,MI,1,2,2,6.0,93,68/1,93.0,15.5,36.0,0,0
Akash Deep,RCB,1,1,1,3.3,55,55/1,55.0,15.71,21.0,0,0
