Player,Sold/Unsold,Winning Bid,2025 Team,2024 Team,Retained,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,BASRA,Avg+,SR+,BASRA+
Suryakumar Yadav,Sold,16.35,MI,MI,Yes,345,11,11,1,102*,34.5,206,167.47,1,3,36,18,201.97,156.55,126.46,130.75
Naman Dhir,Sold,5.25,MI,MI,No,140,7,7,1,62*,23.33,79,177.21,0,1,12,10,200.54,105.86,133.81,129.82
Tilak Varma,Sold,8.00,MI,MI,Yes,416,13,13,3,65,41.6,278,149.64,0,3,35,19,191.24,188.76,112.99,123.8
Rohit Sharma,Sold,16.30,MI,MI,Yes,417,14,14,1,105*,32.08,278,150,1,1,45,23,182.08,145.57,113.27,117.87
Hardik Pandya,Sold,16.35,MI,MI,Yes,216,14,13,1,46,18,151,143.04,0,0,17,11,161.04,81.68,108.01,104.25
Trent Boult,Sold,12.50,MI,RR,No,14,16,5,3,12,7,16,87.5,0,0,2,0,94.5,31.76,66.07,61.18
Mitchell Santner,Sold,2.00,MI,CSK,No,14,3,3,0,11,4.67,17,82.35,0,0,1,0,87.02,21.19,62.18,56.33
Nicholas Pooran,Sold,21.00,LSG,LSG,Yes,499,14,14,6,75,62.38,280,178.21,0,3,35,36,240.59,283.06,134.57,155.75
Mohsin Khan,Sold,4.00,LSG,LSG,Yes,2,9,1,0,2,2,1,200,0,0,0,0,202,9.08,151.02,130.77
Rishabh Pant,Sold,27.00,LSG,DC,No,446,13,13,2,88*,40.55,287,155.4,0,3,36,25,195.95,184,117.34,126.85
Abdul Samad,Sold,4.20,LSG,SRH,No,182,16,12,2,37*,18.2,108,168.51,0,0,15,11,186.71,82.58,127.24,120.87
David Miller,Sold,7.50,LSG,GT,No,210,9,9,3,55,35,139,151.07,0,1,20,8,186.07,158.82,114.07,120.46
Mitchell Marsh,Sold,3.40,LSG,DC,No,61,4,4,0,23,15.25,38,160.52,0,0,9,3,175.77,69.2,121.21,113.79
Ayush Badoni,Sold,4.00,LSG,LSG,Yes,235,14,12,4,55*,29.38,171,137.42,0,2,22,5,166.8,133.32,103.77,107.98
Aiden Markram,Sold,2.00,LSG,SRH,No,220,11,11,2,50,24.44,177,124.29,0,1,18,4,148.73,110.9,93.85,96.28
Arshin Kulkarni,Sold,0.30,LSG,LSG,No,9,2,2,0,9,4.5,8,112.5,0,0,2,0,117,20.42,84.95,75.74
Ravi Bishnoi,Sold,11.00,LSG,LSG,Yes,4,14,3,0,2,1.33,6,66.66,0,0,0,0,67.99,6.04,50.34,44.02
Andre Russell,Sold,12.00,KKR,KKR,Yes,222,15,9,2,64*,31.71,120,185,0,1,20,16,216.71,143.89,139.69,140.29
Sunil Narine,Sold,12.00,KKR,KKR,Yes,488,15,14,0,109,34.86,270,180.74,1,3,50,33,215.6,158.18,136.48,139.57
Venkatesh Iyer,Sold,23.75,KKR,KKR,No,370,15,13,5,70,46.25,233,158.79,0,4,35,19,205.04,209.86,119.9,132.74
